Hoops (Europe).nes,4
Snake's Revenge (USA).nes,1
Fan Kong Jing Ying (China) (Unl).nes,18
Joshua & the Battle of Jericho (USA) (v5.0) (Unl).nes,1
Dig Dug II - Trouble in Paradise (USA).nes,0
Town & Country Surf Designs - Wood & Water Rage (USA).nes,0
Shadow of the Ninja (USA).nes,3
Wizardry II - Llylgamyn no Isan (Japan).nes,1
Sou Setsu Ryuu II - The Revenge (Japan).nes,3
Goal!! (Japan).nes,20
Dragon Ninja (Japan).nes,0
Knight Rider (USA).nes,8
Elite (Unknown) (NTSC Demo).nes,3
Ninja Jajamaru-kun (Japan).nes,2
Jurassic Park (USA).nes,0
Ide Yousuke Meijin no Jissen Mahjong II (Japan).nes,2
Puyo Puyo (Japan).nes,0
MiG 29 - Soviet Fighter (USA) (Unl).nes,0
Times of Lore (USA).nes,2
Crystal Mines (USA) (Unl).nes,3
Moero TwinBee - Cinnamon Hakase o Sukue! (Japan).nes,0
Mario Is Missing! (Europe).nes,0
Strider Hiryu (Japan) (Proto).nes,3
Nintendo World Class Service - Joystick Test Cartridge (USA).nes,1
Datach - J League Super Top Players (Japan).nes,5
Mahjong (Japan) (Rev A).nes,2
Rockin' Kats (USA).nes,0
Kekkyoku Nankyoku Daibouken (Japan).nes,0
Tetris (USA).nes,4
Low G Man - The Low Gravity Man (USA).nes,2
Boulder Dash (USA).nes,1
Super Cars (USA).nes,0
"Trolls in Crazyland, The (Europe).nes",6
Uchuu Keibitai SDF (Japan).nes,1
Tiger-Heli (USA).nes,0
Lethal Weapon (USA).nes,3
Fantasy Zone II - Opa-Opa no Namida (Japan).nes,3
"Wing of Madoola, The (Japan) (Sample).nes",1
Ushio to Tora - Shinen no Daiyou (Japan).nes,8
Seicross (Japan) (Rev 1).nes,5
Super Real Baseball '88 (Japan).nes,2
Flipull - An Exciting Cube Game (Japan) (En) (Rev 1).nes,0
Spartan X 2 (Japan).nes,6
Pinball (USA) (GameCube Edition).nes,0
Hit Marmot (Asia) (Unl).nes,5
Adventures of Tom Sawyer (USA).nes,5
Choujin Sentai Jetman (Japan).nes,2
BurgerTime (Japan).nes,4
Kabuki - Quantum Fighter (Europe).nes,0
Doraemon (Japan).nes,2
Royal Blood (Japan).nes,2
World Grand-Prix - Pole to Finish (Japan).nes,5
Penguin-kun Wars (Japan).nes,2
Gauntlet II (USA).nes,1
Kame no Ongaeshi - Urashima Densetsu (Japan).nes,2
Dragon Power (USA).nes,5
George Foreman's KO Boxing (Europe).nes,2
Bokosuka Wars (Japan).nes,0
Teenage Mutant Ninja Turtles (USA) (Beta).nes,4
AV Kyuukyoku Mahjong 2 (Asia) (Unl).nes,2
Tetris 2 + Bombliss (Japan) (Rev A).nes,1
Maxi-15 Pack (Australia) (Unl).nes,11
Asmik-kun Land (Japan).nes,4
Dragon Warrior II (USA).nes,3
Darkman (USA).nes,5
Valkyrie no Bouken - Toki no Kagi Densetsu (Japan).nes,3
Tiger-Heli (Japan).nes,0
Family Pinball (Japan).nes,3
Ufouria - The Saga (Europe).nes,11
"Untouchables, The (Japan).nes",1
Contra (Japan).nes,1
Trojan (USA).nes,1
DuckTales 2 (USA).nes,2
Tenchi o Kurau (Japan).nes,20
Dragon's Lair (USA).nes,0
"Krion Conquest, The (USA).nes",0
Tanigawa Kouji no Shougi Shinan III (Japan).nes,0
Robin Hood - Prince of Thieves (Germany).nes,5
Where's Waldo (USA).nes,11
Destiny of an Emperor (USA).nes,20
8 Eyes (USA).nes,5
Mission Impossible (Europe).nes,0
Superman (Japan).nes,7
Strategist (Asia) (PAL) (Unl).nes,6
Family Trainer 1 - Athletic World (Japan).nes,6
Hayauchi Super Igo (Japan).nes,1
Poker II (Asia) (Unl).nes,1
Star Force (USA).nes,0
High Speed (USA).nes,1
Game Designer Yousei Soft - Dezaemon (Japan).nes,2
King Neptune's Adventure (USA) (Beta) (Unl).nes,1
Galaxian (Japan) (Rev A).nes,4
Shadow Brain (Japan).nes,5
Faria - Fuuin no Tsurugi (Japan).nes,4
Silver Surfer (USA).nes,13
Track & Field II (USA) (Rev A).nes,5
Famista '90 (Japan).nes,14
Sansuu 5 & 6 Nen - Keisan Game (Japan).nes,1
Fire Emblem Gaiden (Japan).nes,45
Garfield - A Week of Garfield (Japan) (Sample).nes,0
Rainbow Islands - Bubble Bobble 2 (Europe).nes,20
Chinese Checkers (Asia) (NTSC) (Unl).nes,0
Star Trek V - The Final Frontier (Unknown) (Proto).nes,1
Takeda Shingen 2 (Japan).nes,0
Double Dare (USA).nes,3
Tetris (USA) (Unl).nes,0
Mega Man 4 (USA) (Rev A).nes,7
World Champ - Super Boxing Great Fight (Europe).nes,2
Tokkyuu Shirei Solbrain (Japan).nes,3
Tatakae!! Rahmen Man - Sakuretsu Choujin 102 Gei (Japan).nes,8
Mario Bros. (USA) (GameCube Edition).nes,2
California Games (USA).nes,1
Family Circuit '91 (Japan).nes,1
Captain Tsubasa Vol. II - Super Striker (Japan).nes,7
Airwolf (USA).nes,4
Mickey Mousecapade (USA).nes,2
International Cricket (Australia) (Beta).nes,8
Max Warrior - Wakusei Kaigenrei (Japan).nes,3
Sidewinder (Asia) (PAL) (Unl).nes,1
Sekiryuuou (Japan).nes,4
Wonderland Dizzy (Unknown) (Proto) (1993-09-24) (Unl).nes,1
Sqoon (Japan).nes,0
McDonaldland (France).nes,2
Harlem Globetrotters (USA).nes,21
Zelda II - The Adventure of Link (Europe) (Rev B).nes,21
Bucky O'Hare (Europe).nes,4
Die Hard (Europe).nes,4
Willow (USA).nes,5
Rad Racer (USA).nes,0
"Legend of Robin Hood, The (USA) (Proto).nes",3
Rolling Thunder (USA) (Unl).nes,6
Pirates! (USA).nes,1
Rackets & Rivals (Europe).nes,1
Michael Andretti's World GP (USA).nes,2
Shoukoushi Ceddie (Japan).nes,1
Super Mario Bros. 2 (USA) (Rev A).nes,14
Abarenbou Tengu (Japan).nes,5
Fushigi na Blobby - Blobania no Kiki (Japan).nes,0
Super Spike V'Ball (USA).nes,7
Maniac Mansion (USA).nes,6
Top Gun (Europe).nes,2
Aa Yakyuu Jinsei Icchokusen (Japan).nes,17
Overlord (USA).nes,2
King's Knight (USA).nes,2
North & South - Wakuwaku Nanboku Sensou (Japan).nes,2
Sou Setsu Ryuu III - The Rosetta Stone (Japan).nes,1
Twin Eagle (Japan).nes,1
Barbie (USA).nes,11
Locksmith (Asia) (PAL) (Unl).nes,0
Meitantei Holmes - M kara no Chousenjou (Japan).nes,0
Galaga (Europe).nes,6
Willow (Europe).nes,5
Tiger-Heli (Europe).nes,0
"Flintstones, The - The Surprise at Dinosaur Peak (Europe).nes",9
Barker Bill's Trick Shooting (USA).nes,12
Adventures of Lolo (Europe).nes,0
Mission Impossible (USA).nes,1
Juuryoku Soukou Metal Storm (Japan).nes,4
Donkey Kong Jr. + Jr. Lesson (Japan).nes,5
Gradius (USA).nes,0
Advanced Dungeons & Dragons - DragonStrike (USA).nes,4
Akuma no Shoutaijou (Japan).nes,2
Kakefu-kun no Jump Tengoku - Speed Jigoku (Japan).nes,4
Dick Tracy (USA).nes,5
Jurassic Boy (Asia) (Unl).nes,6
Nuts & Milk (Japan).nes,0
Galactic Crusader (Asia) (Unl).nes,1
Kamen no Ninja - Akakage (Japan).nes,2
3 in 1 Supergun (Asia) (Unl).nes,1
"Flintstones, The - The Rescue of Dino & Hoppy (Japan).nes",8
Zen - Intergalactic Ninja (USA).nes,8
Ice Climber (Japan).nes,4
Thundercade (USA).nes,0
Dai-2-ji Super Robot Taisen (Japan).nes,1
"10-Yard Fight (USA, Europe).nes",2
WWF Wrestlemania Steel Cage Challenge (USA).nes,9
Virus (USA) (Beta) (1990-02-02).nes,1
Takahashi Meijin no Bouken-jima (Japan).nes,0
Real Player's Pak (Australia) (Unl).nes,1
Rollerball (Japan).nes,0
Rock 'n' Ball (USA).nes,1
Life Force (USA).nes,1
Swords and Serpents (Europe).nes,3
Deathbots (USA) (Rev 1) (Unl).nes,2
Takeshi no Chousenjou (Japan).nes,2
Batman - Return of the Joker (USA).nes,5
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan).nes,0
Perman Part 2 - Himitsu Kessha Madoodan o Taose! (Japan).nes,4
Rokudenashi Blues (Japan).nes,0
Solomon no Kagi (Japan).nes,0
Ninja Crusaders - Ryuuga (Japan).nes,2
Spelunker II - Yuusha e no Chousen (Japan).nes,1
Rollergames (Europe).nes,80
Idol Hakkenden (Japan).nes,2
Caesars Palace (USA).nes,0
Captain Skyhawk (USA).nes,8
Mickey's Adventure in Numberland (USA).nes,2
Snake's Revenge (Europe).nes,1
Popo Team (Asia) (Unl).nes,6
Athena (Japan).nes,2
Xing He Zhan Shi (China) (Unl).nes,18
Indiana Jones and the Temple of Doom (USA).nes,1
Mind Blower Pak (Australia) (Unl).nes,4
Baseball Stars II (USA).nes,1
Terminator 2 - Judgment Day (USA).nes,2
Star Wars (Japan) (Namco).nes,10
Conflict (USA).nes,2
Cross Fire (Japan).nes,5
Sansuu 1 Nen - Keisan Game (Japan).nes,0
Datach - Yu Yu Hakusho - Bakutou Ankoku Bujutsukai (Japan).nes,4
Racermate Challenge II (USA) (v6.02.002) (Unl).nes,1
Loopz (USA).nes,1
Wall Street Kid (USA).nes,1
Bases Loaded (USA) (Rev A).nes,0
Saiyuuki World 2 - Tenjoukai no Majin (Japan).nes,5
Power Blade (Europe).nes,4
RoboCop 2 (Japan).nes,11
Rollergames (USA).nes,80
Mad Max (USA).nes,1
Rainbow Islands - The Story of Bubble Bobble 2 (Japan).nes,5
Golf (Europe).nes,0
SD Battle Oozumou - Heisei Hero Basho (Japan).nes,2
Capcom's Gold Medal Challenge '92 (Europe).nes,1
Tetrastar - The Fighter (Japan).nes,6
Metal Gear (USA).nes,3
Zelda no Densetsu 1 - The Hyrule Fantasy (Japan).nes,36
Sensha Senryaku - Sabaku no Kitsune (Japan).nes,1
Conflict (Japan).nes,2
"Flintstones, The - The Rescue of Dino & Hoppy (USA).nes",8
Tetsuwan Atom (Japan).nes,1
Mega Man 3 (USA) (Beta).nes,5
Mezase Top Pro - Green ni Kakeru Yume (Japan).nes,0
World Class Track Meet (USA) (Rev A).nes,11
Phantom Air Mission (Europe).nes,19
Just Breed (Japan).nes,7
SD Gundam - Gachapon Senshi 5 - Battle of Universal Century (Japan).nes,0
Joy Mech Fight (Japan).nes,8
BattleCity (Japan).nes,2
Yume Penguin Monogatari (Japan).nes,4
Pro Yakyuu - Family Stadium '87 (Japan).nes,5
Getsufuu Maden (Japan).nes,4
Galaga - Demons of Death (USA).nes,6
Pro Wrestling (USA).nes,1
Rainbow Islands (USA).nes,7
"Triathron, The (Japan).nes",0
Joe & Mac - Caveman Ninja (Europe).nes,1
Deja Vu (Japan).nes,8
Zombie Hunter (Japan).nes,1
720 Degrees (USA).nes,0
Sweet Home (Japan).nes,2
M.C. Kids (USA).nes,2
Krusty's Fun House (USA).nes,0
Matendouji (Japan).nes,5
Takahashi Meijin no Bouken-jima IV (Japan).nes,7
Baltron (Japan).nes,0
Fist of the North Star (USA).nes,16
Arch Rivals - A Basketbrawl! (Europe).nes,0
Dr. Jekyll and Mr. Hyde (USA).nes,6
Fire Dragon (Asia) (Unl).nes,0
Takeshi no Sengoku Fuuunji (Japan).nes,51
Racket Attack (USA).nes,2
"F-15 Strike Eagle (Sweden) (Sv,Da,Fi).nes",2
Wizardry - Proving Grounds of the Mad Overlord (Japan).nes,1
Excitebike (USA) (GameCube Edition).nes,13
Taito Chase H.Q. (Japan).nes,4
Advanced Dungeons & Dragons - Dragons of Flame (Japan).nes,5
Spy vs Spy (Japan).nes,0
Kyuukyoku Harikiri Stadium III (Japan).nes,13
Family Trainer 10 - Rairai Kyonsees (Japan).nes,0
Buzz & Waldog (USA) (Proto) (Unl).nes,4
Incantation (Asia) (Unl).nes,1
Jangou (Japan).nes,0
Hudson's Adventure Island (USA).nes,0
Raid on Bungeling Bay (USA).nes,0
"Bard's Tale, The - Tales of the Unknown (USA) (Beta 2).nes",3
Lagrange Point (Japan).nes,6
Advanced Dungeons & Dragons - Pool of Radiance (USA).nes,0
Toukyou Pachi-Slot Adventure (Japan) (Rev A).nes,4
Double Dragon II - The Revenge (USA).nes,2
Nintendo World Cup (Europe).nes,2
Metal Gear (Japan).nes,3
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (Europe).nes,1
R.B.I. Baseball 2 (USA) (Unl).nes,21
Captain Saver (Japan).nes,1
Hototogisu (Japan).nes,3
Ski or Die (USA).nes,1
Anticipation (Europe).nes,1
Krusty's Fun House (Europe).nes,0
Hello Kitty no Ohanabatake (Japan).nes,2
Abadox - The Deadly Inner War (USA).nes,1
Geimos (Japan).nes,1
Championship Rally (Europe).nes,1
"Lord of King, The (Japan).nes",2
Balloon Fight (Europe).nes,5
Donkey Kong (Japan).nes,3
Datach - Ultraman Club - Supokon Fight! (Japan).nes,2
